,likes,time,servings,ingredients,nutritions,link
Hangover Helper Wellness Shot,82% WOULD MAKE AGAIN,,for 4 shots,"3 stalks celery, sliced; ½ cucumber, peeled and cubed; ½ cup coconut water (120 mL); 2 tablespoons jalapeño, seeded and chopped; ¼ teaspoon himalayan sea salt","Calories 12
Fat 0g
Carbs 2g
Fiber 0g
Sugar 1g
Protein 0g",https://tasty.co/recipe/hangover-helper-wellness-shot
Street-Style Butta (India),90% WOULD MAKE AGAIN,Under 30 minutes,for 3 servings,"3 ears corn, shucked; 1 tablespoon ghee; 1 lime, halved crosswise; 1 teaspoon chili powder; ¼ teaspoon ground cumin; ¼ teaspoon cayenne; ¼ teaspoon garam masala; 1 ½ teaspoons salt","Calories 183
Fat 8g
Carbs 29g
Fiber 3g
Sugar 6g
Protein 4g",https://tasty.co/recipe/street-style-butta-india
Pear Chai Winter Smoothie,83% WOULD MAKE AGAIN,Under 30 minutes,for 1 serving,"1 cup warm milk (240 g), of choice; 2 bags chai tea; 1 pear, cored and diced; 1 tablespoon honey; ½ teaspoon vanilla extract; ¼ teaspoon cinnamon","Calories 353
Fat 8g
Carbs 65g
Fiber 8g
Sugar 52g
Protein 8g",https://tasty.co/recipe/pear-chai-winter-smoothie
BBQ Spice Rub Blend,98% WOULD MAKE AGAIN,Under 30 minutes,for 8 servings,"2 tablespoons brown sugar; 2 tablespoons paprika; 2 teaspoons garlic powder; 2 teaspoons chili powder; 1 teaspoon onion powder; ¼ teaspoon cayenne pepper, optional; 1 teaspoon salt; 1 teaspoon pepper","Calories 13
Fat 0g
Carbs 3g
Fiber 0g
Sugar 2g
Protein 0g",https://tasty.co/recipe/bbq-spice-rub-blend
Mediterranean Box,94% WOULD MAKE AGAIN,,for 1 serving,"1 cucumber, sliced; ½ cup cherry tomatoes (100 g); 1 cup grapes (170 g); ½ cup pita chips (50 g); 2 tablespoons hummus","Calories 193
Fat 4g
Carbs 38g
Fiber 5g
Sugar 24g
Protein 6g",https://tasty.co/recipe/mediterranean-box
Easy Pesto Hummus,96% WOULD MAKE AGAIN,,for 6 servings,"15 oz garbanzo beans (425 g), 1 can, drained and rinsed; ¼ teaspoon salt; 1 clove garlic; ½ teaspoon ground cumin; ½ cup basil pesto (110 g); 1 tablespoon lemon juice; 2 tablespoons water","Calories 222
Fat 12g
Carbs 20g
Fiber 5g
Sugar 3g
Protein 8g",https://tasty.co/recipe/easy-pesto-hummus
Chocolate Banana Lollipops,88% WOULD MAKE AGAIN,,for 16 pieces,"2 bananas; ½ cup semisweet chocolate (100 g), melted; 2 tablespoons almond, sliced; 16 popsicle sticks","Calories 54
Fat 2g
Carbs 8g
Fiber 1g
Sugar 5g
Protein 0g",https://tasty.co/recipe/chocolate-banana-lollipops
Rainbow Veggie Roll,93% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"2 cups sushi rice (460 g), cooked; ¼ cup seasoned rice vinegar (60 mL); 4 half sheets sushi grade nori; 1 avocado, thinly sliced; 1 small cucumber, cut into matchsticks; 1 cup bell pepper (100 g), assorted colors, cut into matchsticks; sesame seed, optional","Calories 381
Fat 5g
Carbs 67g
Fiber 3g
Sugar 56g
Protein 2g",https://tasty.co/recipe/rainbow-veggie-roll
Avocado Cold Brew Smoothie,72% WOULD MAKE AGAIN,,for 2 servings,"½ cup cold brew coffee (120 mL); ½ avocado, chopped; 1 tablespoon vanilla extract; 1 cup coconut milk (240 mL); ½ cup vanilla yogurt (120 g); 2 cups ice (280 g); coconut flake, for serving","Calories 363
Fat 27g
Carbs 22g
Fiber 5g
Sugar 16g
Protein 7g",https://tasty.co/recipe/avocado-cold-brew
Vegan Black Rice Sushi Rolls,75% WOULD MAKE AGAIN,,for 3 rolls,"⅓ cup organic tempeh (55 g), cut into thin strips; ⅓ cup soy sauce (80 mL); 1 medium carrot, grated; ¼ head purple cabbage, grated; 3 sheets toasted nori; black rice, cooked according to package directions, and cooled; ½ cup avocado (75 g), thinly sliced lengthwise; ⅓ cup english cucumber (50 g), seeded, cut into thin strips; ⅓ cup cashews (45 g), coarsely chopped; water, for sealing; 3 tablespoons olive oil; ¼ cup lime juice (60 mL); 3 tablespoons maple syrup; 2 teaspoons white miso paste; 2 teaspoons black sesame seeds; 1 teaspoon fresh ginger, grated, optional; bamboo sushi mat, optional","Calories 267
Fat 12g
Carbs 31g
Fiber 4g
Sugar 14g
Protein 10g",https://tasty.co/recipe/vegan-black-rice-sushi-rolls
