,likes,time,servings,ingredients,nutritions,link
1-Minute Noodles,92% WOULD MAKE AGAIN,,for 4 servings,"½ cup chinese black vinegar (120 mL); ¼ cup high grade sesame oil (60 mL); ¼ cup soy sauce (60 mL); 1 tablespoon sugar; 1 ⅔ lb fresh noodles (720 g), of choice, cooked and chilled; 1 teaspoon garlic, minced; 2 tablespoons scallion, thinly sliced; 1 tablespoon chili oil; 1 tablespoon sesame seeds","Calories 686
Fat 38g
Carbs 74g
Fiber 3g
Sugar 7g
Protein 12g",https://tasty.co/recipe/1-minute-noodles
Fresh Fruit Sushi,79% WOULD MAKE AGAIN,Under 30 minutes,for 20 pieces,1 ½ cups short grain rice (300 g); 2 cups water (480 mL); 3 tablespoons sugar; ¼ teaspoon salt; 1 cup coconut milk (240 mL); 1 ½ teaspoons vanilla; pineapple; strawberry; mango; kiwi; 1 pt blackberry (475 g); raspberry,"Calories 74
Fat 2g
Carbs 13g
Fiber 0g
Sugar 3g
Protein 1g",https://tasty.co/recipe/fresh-fruit-sushi
Giant Raindrop Cake,58% WOULD MAKE AGAIN,Under 30 minutes,for 10 servings,"8 cups cold water (1.9 L); 2 ¾ teaspoons japanese agar agar powder; 1 tablespoon ultra-fine baker's sugar; 2 cups golden brown sugar (440 g); 1 cup water (240 mL); soybean flour, roasted","Calories 111
Fat 0g
Carbs 28g
Fiber 0g
Sugar 28g
Protein 0g",https://tasty.co/recipe/giant-raindrop-cake
Spicy Masala Veggie Burgers,90% WOULD MAKE AGAIN,Under 30 minutes,for 6 servings,"2 red potatoes, finely chopped; 2 large carrots, finely chopped; ½ bell pepper, finely chopped; ½ cup corn (90 g); ½ cup edamame (80 g); ½ cup oats (45 g); ½ teaspoon ginger; ½ teaspoon turmeric; 1 teaspoon garam masala; ¼ teaspoon mustard seed; ½ teaspoon cayenne pepper; 2 cloves garlic; 1 tablespoon olive oil; ½ teaspoon salt; 1 tablespoon oil","Calories 139
Fat 3g
Carbs 24g
Fiber 4g
Sugar 3g
Protein 5g",https://tasty.co/recipe/spicy-masala-veggie-burgers
Avocado Hummus,96% WOULD MAKE AGAIN,,for 4 servings,"14 oz chickpeas (395 g), 1 can; 1 avocado; 1 clove garlic; 1 jalapeño pepper, seeded; ¼ cup fresh cilantro (10 g); 1 teaspoon cumin; 1 tablespoon lime juice; ½ teaspoon salt; ½ teaspoon black pepper; 2 tablespoons extra virgin olive oil; fresh cilantro, to serve","Calories 244
Fat 10g
Carbs 30g
Fiber 10g
Sugar 4g
Protein 9g",https://tasty.co/recipe/avocado-hummus
Vegan Roasted Red Pepper Cream Sauce,91% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"4 red bell peppers, halved and seeded; 1 avocado, chopped; 2 tablespoons olive oil, plus more as needed; 2 tablespoons lemon juice; 3 cloves garlic, minced; ½ teaspoon salt; ½ teaspoon pepper; ½ teaspoon crushed red pepper flake, optional; 2 tablespoons nutritional yeast, optional","Calories 123
Fat 7g
Carbs 14g
Fiber 5g
Sugar 4g
Protein 3g",https://tasty.co/recipe/vegan-roasted-red-pepper-cream-sauce
Hasselback Butternut Squash,93% WOULD MAKE AGAIN,,for 8 servings,"1 medium butternut squash; ¼ cup water (60 mL); 2 tablespoons olive oil, plus more to taste; kosher salt, to taste; pepper, to taste; ⅓ cup shallot (35 g), finely chopped; 2 tablespoons dijon mustard; 3 tablespoons maple syrup; 2 tablespoons apple cider vinegar; ¼ cup hazelnuts (30 g), blanched, toasted and roughly chopped; ⅓ cup pomegranate seeds (60 g); ¼ cup chives (10 g), thinly sliced","Calories 117
Fat 3g
Carbs 22g
Fiber 3g
Sugar 7g
Protein 2g",https://tasty.co/recipe/hasselback-butternut-squash
Tofu “Egg” Breakfast Sandwich,98% WOULD MAKE AGAIN,Under 30 minutes,for 2 servings,"1 tablespoon olive oil; 7 oz tofu; 2 tablespoons soy sauce, divided; ½ teaspoon garlic powder, divided; ¼ teaspoon turmeric, divided; ¼ cup vegan mayonnaise; ¼ cup ketchup; 2 hashbrowns, cooked; 2 ciabatta rolls; sliced tomato, to serve; sliced avocado, to serve",,https://tasty.co/recipe/tofu-egg-breakfast-sandwich
Air Fryer Sweet Potato Chips,86% WOULD MAKE AGAIN,"Total Time
20 minutes
Prep Time
5 minutes
Cook Time
15 minutes",for 2 servings,"1 large sweet potato, or yam; 1 tablespoon olive oil; 1 ½ teaspoons kosher salt; ½ teaspoon pepper; 1 teaspoon dried thyme","Calories 103
Fat 2g
Carbs 19g
Fiber 1g
Sugar 7g
Protein 1g",https://tasty.co/recipe/air-fryer-sweet-potato-chips
Vegan Chocolate Chip Cookie Ice Cream Sandwiches,88% WOULD MAKE AGAIN,,for 5 sandwiches,"½ cup granulated sugar (100 g); ¾ cup dark brown sugar (165 g), packed; 1 teaspoon salt; ½ cup refined coconut oil (120 mL), melted; ¼ cup oat milk (60 mL); 1 teaspoon vanilla extract; 1 ½ cups all-purpose flour (185 g); ½ teaspoon baking soda; 8 oz vegan chocolate chips (225 g); 2 pt vegan vanilla ice cream (575 g); vegan dark chocolate, in small chunks, for garnish, optional","Calories 1162
Fat 74g
Carbs 116g
Fiber 5g
Sugar 85g
Protein 14g",https://tasty.co/recipe/vegan-chocolate-chip-cookie-ice-cream-sandwiches
“Ranch” Roasted Chickpeas,80% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"15 oz chickpeas (400 g), 1 can, drained and rinsed; 1 tablespoon olive oil; ½ teaspoon dried thyme; ½ teaspoon dried parsley; ½ teaspoon onion powder; 1 teaspoon dried dill; ½ teaspoon garlic powder; ½ teaspoon pepper","Calories 183
Fat 3g
Carbs 29g
Fiber 8g
Sugar 5g
Protein 9g",https://tasty.co/recipe/ranch-roasted-chickpeas
