,likes,time,servings,ingredients,nutritions,link
Vegan Banana Pancakes,,Under 30 minutes,for 2 servings,"1 small ripe banana; 1 cup oat flour (125 g); 1 cup plant-based milk (240 mL); 1 teaspoon baking powder; ¼ teaspoon baking soda; 1 tablespoon apple cider vinegar; 1 teaspoon cinnamon; topping of your choice; 1 tablespoon coconut oil, for baking","Calories 469
Fat 15g
Carbs 70g
Fiber 7g
Sugar 13g
Protein 14g",https://tasty.co/recipe/vegan-banana-pancakes
Simple Mustard Dressing,,,for 10 servings,"1 tablespoon mustard, leftover; 1 tablespoon white vinegar; ½ cup olive oil (120 mL)","Calories 27
Fat 3g
Carbs 0g
Fiber 0g
Sugar 0g
Protein 0g",https://tasty.co/recipe/simple-mustard-dressing
Carrot-mango Tango Baby Food (9+ Months),,,for 8 servings,"2 apples, washed, peeled and steamed; 3 large carrots, washed, peeled and steamed; 1 mango, cubed; water, can be breast milk or formula","Calories 71
Fat 0g
Carbs 18g
Fiber 3g
Sugar 13g
Protein 0g",https://tasty.co/recipe/carrot-mango-tango-baby-food-9-months
Tembleque Vegan Pudding,,Under 30 minutes,for 8 servings,"2 cups coconut milk (480 mL), fresh or canned; 1 cup sugar (200 g); ½ teaspoon salt; 3 sticks cinnamon; ½ cup cornstarch (60 g); ½ cup water (120 mL); cinnamon, to serve; star anise, to serve","Calories 210
Fat 10g
Carbs 29g
Fiber 1g
Sugar 21g
Protein 1g",https://tasty.co/recipe/tembleque-vegan-pudding
2-Minute Vegetable Dumplings,,"Total Time
7 minutes
Prep Time
5 minutes
Cook Time
2 minutes",for 1 serving,"1 large shiitake mushroom, stemmed and quartered; ½ napa cabbage, roughly chopped; 3 Chinese chives, roughly chopped; ½ tablespoon fresh cilantro leaves; ½ teaspoon sesame oil, divided; ½ teaspoon low sodium soy sauce; ½ teaspoon hoisin sauce, optional; ½ teaspoon cornstarch; 1 pinch kosher salt; 5 wonton wrappers; water, for sealing wrappers; 1 ½ cups hot water (360 mL); 2 teaspoons low sodium soy sauce; 1 teaspoon black vinegar; ½ teaspoon sesame oil","Calories 271
Fat 6g
Carbs 46g
Fiber 17g
Sugar 7g
Protein 10g",https://tasty.co/recipe/2-minute-vegetable-dumplings
Broccoli Tofu Stir Fry,,Under 30 minutes,for 6 servings,"14 oz tofu (395 g), drained and pressed, then cubed; 12 oz broccoli floret (340 g); ⅓ cup olive oil (80 g); 2 tablespoons cornstarch; 1 tablespoon ginger paste; 1 tablespoon garlic, minced; ⅓ cup onion (50 g); ½ cup sesame oil (120 mL); ½ cup low sodium soy sauce (120 mL); ¼ cup cornstarch (30 g)","Calories 299
Fat 24g
Carbs 13g
Fiber 2g
Sugar 1g
Protein 9g",https://tasty.co/recipe/broccoli-tofu-stir-fry
Taste Of The Garden Cocktail,,Under 30 minutes,for 1 cocktail,"1 celery stalk, chopped; 4 cherry tomatoes, halved; 1 radish, chopped, whole, for garnish, divided; ½ teaspoon kosher salt; ½ tablespoon prepared horseradish; ½ teaspoon celery seed, divided; 2 tablespoons lemon juice; 1 cup tomato juice (240 mL); ¼ cup good-quality dill pickle juice (60 g); ¼ teaspoon hot sauce; ½ teaspoon worcestershire sauce; 1 sprig fresh dill; 1 ½ oz 1800® Tequila Reposado (45 mL)","Calories 175
Fat 1g
Carbs 24g
Fiber 3g
Sugar 17g
Protein 3g",https://tasty.co/recipe/taste-of-the-garden-cocktail
Smoothies: Almond Brothers,,,for 1 serving,1 cup Great Value® Almond Milk (240 mL); 1 ½ cups Great Value® Berry Medley (260 g); 2 tablespoons honey; ¼ cup coconut chips (20 g),,https://tasty.co/recipe/smoothies-almond-brothers
Sri Lankan Coconut Sambal,,,for 2 servings,"1 cup fresh shredded coconut (100 g); ½ onion, chopped; 1 tablespoon chili flakes; 1 teaspoon salt; 1 lime; 1 green chilli, optional","Calories 203
Fat 15g
Carbs 17g
Fiber 5g
Sugar 6g
Protein 3g",https://tasty.co/recipe/sri-lankan-coconut-sambal
"Hummus, Radish, Cucumber, And Paprika–Stuffed Avocado",,,for 1 serving,"1 ripe avocado; oil, for brushing; salt, to taste; 1.5 tablespoons hummus; 1 small radish; ¼ cucumber, peeled and chopped; paprika, to taste","Calories 331
Fat 28g
Carbs 18g
Fiber 12g
Sugar 1g
Protein 5g",https://tasty.co/recipe/hummus-radish-cucumber-and-paprika-stuffed-avocado
Banana Cream Tiramisu,,,for 4 servings,"1 teaspoon granulated sugar; 1 teaspoon McCormick® Pure Vanilla Extract; ⅓ cup hot espresso (80 mL); .75 oz instant vanilla pudding mix (7 g); 2 cups cold milk (480 mL); 8 oz mascarpone (225 g), room temperature; 1 cup heavy cream (240 mL), very cold; 11 oz vanilla wafer cookies (310 g), plus more for garnish; 5 bananas, cut into ¼-inch-thick slices; McCormick® Ground Cinnamon, for dusting","Calories 773
Fat 52g
Carbs 77g
Fiber 6g
Sugar 50g
Protein 10g",https://tasty.co/recipe/banana-cream-tiramisu
Jocón De Pollo,,,for 4 servings,"2 tablespoons olive oil, divided; 1 green bell pepper, quartered and seeds discarded; ½ yellow onion, quartered; 4 large tomatillos; 4 garlic cloves; 2 cups water; 1 corn tortilla, quartered; ¼ cup raw pumpkin seeds, plus more for garnish; 1 cup cilantro leaves, plus more for garnish; 2 large Signature SELECT® Skinless Boneless Chicken Breast, cubed; 1 teaspoon salt, plus more to taste; 1 teaspoon freshly ground black pepper, plus more to taste; 3 sprigs fresh thyme; 1 teaspoon Signature Select® Garlic Powder; 2 fresh bay leaves; 1 large russet potato, peeled and diced; cooked white rice, for serving",,https://tasty.co/recipe/jocon-de-pollo
