,likes,time,servings,ingredients,nutritions,link
Popcorn Tofu Nuggets,86% WOULD MAKE AGAIN,,for 6 servings,¾ cup vegan mayonnaise (180 g); ¾ cup bread crumbs (85 g); 2 tablespoons nutritional yeast; 1 teaspoon paprika; 1 teaspoon garlic powder; 14 oz tofu (395 g),"Calories 329
Fat 22g
Carbs 18g
Fiber 1g
Sugar 1g
Protein 10g",https://tasty.co/recipe/popcorn-tofu-nuggets
Pesto Quinoa With White Beans,94% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"2 cups fresh basil (80 g), packed; 2 cups fresh arugula (40 g), packed; ⅓ cup olive oil (80 mL), plus 1 tablespoon, divided; ⅓ cup walnuts (30 g); 1 tablespoon lemon juice; ¾ teaspoon salt, plus more to taste; 2 cloves garlic, quartered; ¼ teaspoon pepper, plus more to taste; 2 tablespoons water; 1 medium zucchini, sliced; 15 oz white bean (425 g), 1 can, drained and rinsed; ¾ cup sun-dried tomato (40 g); ¼ cup pine nuts (30 g); 3 ½ cups quinoa (595 g), cooked","Calories 778
Fat 23g
Carbs 113g
Fiber 20g
Sugar 13g
Protein 30g",https://tasty.co/recipe/pesto-quinoa-with-white-beans
Vegan Lasagna,88% WOULD MAKE AGAIN,,for 5 servings,"28 oz tofu (795 g); 2 tablespoons lemon juice; 3 tablespoons nutritional yeast; ¼ cup fresh basil (10 g); 3 cloves garlic; 1 teaspoon pepper; 1 teaspoon salt; 2 cups walnuts (200 g); 3 cloves garlic; 2 tablespoons oil; 1 teaspoon liquid smoke; 1 tablespoon soy sauce; 1 teaspoon smoked paprika; 1 teaspoon dried oregano; 1 teaspoon dried rosemary; 1 teaspoon pepper; 2 lb cremini mushroom (907 g); 1 onion, diced; 1 jar tomato sauce; 1 box lasagna noodle","Calories 531
Fat 40g
Carbs 23g
Fiber 8g
Sugar 8g
Protein 31g",https://tasty.co/recipe/vegan-lasagna
Roasted Veggie Skewers,98% WOULD MAKE AGAIN,,for 8 skewers,"¼ cup olive oil (60 mL); 2 tablespoons lemon juice; 1 tablespoon dried oregano; 1 teaspoon salt; 1 teaspoon pepper; 2 zucchinis, sliced into rounds; 3 cups cremini mushroom (225 g); 2 medium red onions, cut into 1-inch pieces; 2 red bell peppers, cut into 1-inch pieces; 2 yellow bell peppers, cut into 1-inch pieces; 8 skewers bamboo skewer, soaked in water for 20 minutes","Calories 63
Fat 2g
Carbs 11g
Fiber 2g
Sugar 5g
Protein 2g",https://tasty.co/recipe/roasted-veggie-skewers
Classic Pita Chips,96% WOULD MAKE AGAIN,Under 30 minutes,for 2 servings,1 pita bread; 2 tablespoons olive oil; ½ teaspoon garlic powder; ½ teaspoon salt; ½ teaspoon pepper,"Calories 103
Fat 4g
Carbs 14g
Fiber 0g
Sugar 0g
Protein 2g",https://tasty.co/recipe/classic-pita-chips
Ratatouille Salad,95% WOULD MAKE AGAIN,,for 2 servings,"olive oil, as needed; 1 large eggplant, or 2 small, cubed; kosher salt, to taste; freshly ground black pepper, to taste; 1 red bell pepper, seeded and chopped; yellow bell pepper, seeded and chopped; 1 small white onion, chopped; 2 cloves garlic, minced; 1 yellow squash, sliced; 1 zucchini, sliced; 1 tablespoon chopped fresh thyme leaves; 3 roma tomatoes, diced; ½ lemon, juiced; 1 cup dry white quinoa (170 g), rinsed; 2 ½ cups water (600 mL); 1 tablespoon chopped fresh basil","Calories 560
Fat 10g
Carbs 105g
Fiber 18g
Sugar 22g
Protein 19g",https://tasty.co/recipe/ratatouille-salad
Spring Vegetable Potstickers,97% WOULD MAKE AGAIN,Under 30 minutes,for 24 pot stickers,"½ cup rice vinegar (120 mL); ½ cup soy sauce (120 mL); 1 clove garlic, minced; 1 teaspoon minced fresh ginger; ⅓ cup thinly sliced green onions (5 g); 1 teaspoon sesame oil; ½ teaspoon red pepper flakes; 3 tablespoons neutral oil; 1 medium yellow onion, finely chopped; 1 tablespoon ginger, minced; 1 tablespoon garlic, minced; 1 cup asparagus (125 g), finely chopped; 2 cups shredded carrot (100 g); 2 cups green cabbage (100 g), shredded; 1 cup frozen peas (150 g), thawed; coarse kosher salt, to taste; freshly ground black pepper, to taste; 3 cups chopped fresh spinach (90 g); 1 cup finely chopped fresh chives (45 g), finely chopped; 2 tablespoons soy sauce; 2 teaspoons sesame oil; 24 round wonton wrappers; 4 tablespoons neutral oil, divided; 1 cup water (240 mL), divided","Calories 103
Fat 5g
Carbs 12g
Fiber 1g
Sugar 4g
Protein 2g",https://tasty.co/recipe/spring-vegetable-potstickers
Healthy Strawberry Banana Frozen Yogurt,90% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"3 cups frozen strawberries (450 g); 2 frozen bananas, sliced; ½ cup greek yogurt (145 g)","Calories 143
Fat 0g
Carbs 33g
Fiber 4g
Sugar 19g
Protein 4g",https://tasty.co/recipe/healthy-strawberry-banana-frozen-yogurt
Hummus & Cucumber Avocado Toast,97% WOULD MAKE AGAIN,,for 1 serving,"bread, toasted; 2 tablespoons hummus; ½ avocado, sliced; cucumber, sliced; salt, to taste; pepper, to taste","Calories 185
Fat 14g
Carbs 11g
Fiber 7g
Sugar 0g
Protein 4g",https://tasty.co/recipe/hummus-cucumber-avocado-toast
Butternut Squash Fries,91% WOULD MAKE AGAIN,Under 30 minutes,for 8 servings,"1 butternut squash; 1 tablespoon olive oil; 1 tablespoon dried rosemary; salt, to taste; pepper, to taste",,https://tasty.co/recipe/butternut-squash-fries
