,likes,time,servings,ingredients,nutritions,link
Lemon Basil Soda,93% WOULD MAKE AGAIN,,for 16 servings,"½ cup simple syrup (120 mL); ½ cup lemon juice (120 mL); 6 fresh basil leaves, torn; seltzer water, for serving; lime, cut into wheels, for garnish","Calories 18
Fat 0g
Carbs 5g
Fiber 0g
Sugar 4g
Protein 0g",https://tasty.co/recipe/lemon-basil-soda
Homemade Lime Seltzer,96% WOULD MAKE AGAIN,,for 1 serving,"1 cup seltzer water (240 mL); 1 tablespoon lime juice; 1 tablespoon simple syrup; lime, cut into wheels, for garnish","Calories 38
Fat 0g
Carbs 10g
Fiber 0g
Sugar 9g
Protein 0g",https://tasty.co/recipe/simple-lime-soda
Slow Cooker Jackfruit Carnitas,69% WOULD MAKE AGAIN,,for 6 servings,"40 oz jackfruit (1.1 g), 2 cans in brine or water, drained; ½ medium yellow onion, sliced; 3 cloves garlic, minced; 1 teaspoon kosher salt; 1 teaspoon fresh ground black pepper; 1 teaspoon dried oregano; 1 teaspoon chili powder; 1 teaspoon ground cumin; 2 bay leaves; ½ cup low sodium vegetable broth (120 mL); ½ orange, juiced; ½ lime, juiced; corn tortilla, for serving; guacamole, for serving; black bean, for serving; corn salsa, for serving; pico de gallo, for serving","Calories 195
Fat 0g
Carbs 50g
Fiber 2g
Sugar 2g
Protein 1g",https://tasty.co/recipe/slow-cooker-jackfruit-carnitas
Taco-Spiced Crispy Potato Skins,91% WOULD MAKE AGAIN,,for 4 servings,"8 medium russet potatoes, scrubbed; ¼ cup neutral oil, plus 2 tablespoons, divided; 1 lb 85% lean ground beef; 1 oz McCormick® Original Taco Seasoning; kosher salt, to taste; 1 cup shredded cheddar cheese; sour cream; thinly sliced scallion; small diced avocado","Calories 1159
Fat 52g
Carbs 114g
Fiber 10g
Sugar 5g
Protein 53g",https://tasty.co/recipe/taco-spiced-crispy-potato-skins
Ginger Peached Mango Iced Tea,86% WOULD MAKE AGAIN,,for 1 serving,¼ cup peaches (30 g); 1 tablespoon ginger; 2 tablespoons mango juice; 1 black tea bag; frozen peach,"Calories 22
Fat 0g
Carbs 5g
Fiber 0g
Sugar 4g
Protein 0g",https://tasty.co/recipe/ginger-peached-mango-iced-tea
4-Ingredient Kiwi-Strawberry Fruit Leathers,73% WOULD MAKE AGAIN,Under 30 minutes,for 10 servings,"3 cups strawberry (600 g), halved; 1 cup kiwi (180 g), cut into quarters; 3 tablespoons sugar; 1 tablespoon lemon juice","Calories 36
Fat 0g
Carbs 9g
Fiber 1g
Sugar 6g
Protein 0g",https://tasty.co/recipe/4-ingredient-kiwi-strawberry-fruit-leathers
Beet Apple Spinach Juice,70% WOULD MAKE AGAIN,Under 30 minutes,for 1 serving,"3 stalks celery, diced; 1 gala apple, cored and diced; 2 cups beet (400 g), diced; 3 cups spinach (120 g)","Calories 359
Fat 1g
Carbs 85g
Fiber 18g
Sugar 62g
Protein 12g",https://tasty.co/recipe/beet-apple-spinach-juice
Apple Peel Chips,67% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"8 large apples, washed and peeled; 3 tablespoons sugar; 1 teaspoon cinnamon","Calories 309
Fat 1g
Carbs 83g
Fiber 13g
Sugar 61g
Protein 1g",https://tasty.co/recipe/apple-peel-chips
Green Machine Freezer-Prep Smoothie,87% WOULD MAKE AGAIN,,for 1 serving,"2 cups fresh spinach (80 g); 1 tablespoon almond butter; 2 dates, pitted and chopped; 1 tablespoon chia seeds; 1 banana, sliced; ½ avocado, diced; 120 mL unsweetened almond milk (120 mL)","Calories 424
Fat 21g
Carbs 57g
Fiber 14g
Sugar 26g
Protein 9g",https://tasty.co/recipe/green-machine-freezer-prep-smoothie
Vanilla Cashew Milk,79% WOULD MAKE AGAIN,Under 30 minutes,for 4 cups,"1 cup raw unsalted cashew (130 g); water, for soaking; 4 cups water (960 mL), filtered; 3 medjool dates, pitted; 1 teaspoon vanilla extract; ¼ teaspoon himalayan sea salt","Calories 144
Fat 10g
Carbs 10g
Fiber 1g
Sugar 3g
Protein 4g",https://tasty.co/recipe/vanilla-cashew-milk
