,likes,time,servings,ingredients,nutritions,link
Sweet Potato Pie Smoothie,79% WOULD MAKE AGAIN,"Total Time
7 minutes
Prep Time
5 minutes
Cook Time
2 minutes",for 1 serving,"⅓ cup ice (50 g); ¾ cup sweet potato (170 g), steamed; 2 medjool dates, pitted, plus more, chopped, for topping; ½ cup frozen riced cauliflower (150 g); 1 teaspoon maca powder; ¼ teaspoon ground tumeric; ¼ teaspoon ground cinnamon, plus more for topping; 1 cup nondairy milk (240 mL), milk of your choice","Calories 275
Fat 2g
Carbs 66g
Fiber 6g
Sugar 21g
Protein 4g",https://tasty.co/recipe/sweet-potato-pie-smoothie
Mixed Berry Freezer-Prep Smoothie,82% WOULD MAKE AGAIN,,for 1 serving,"1 cup kale (100 g); 1 banana, sliced; 1 cup blackberry (150 g); 1 cup blueberry (100 g); ¼ cup oats (25 g); 1 teaspoon fresh ginger; 1 tablespoon chia seeds; ½ cup unsweetened almond milk (120 mL)","Calories 626
Fat 7g
Carbs 135g
Fiber 25g
Sugar 59g
Protein 17g",https://tasty.co/recipe/mixed-berry-freezer-prep-smoothie
Impossible™ Kofta & Veggie Kebabs,85% WOULD MAKE AGAIN,,for 4 servings,"1 Impossible™ Burger; 2 teaspoons kosher salt, plus more to taste; 2 teaspoons freshly ground black pepper, plus more to taste; 2 teaspoons ground cumin; ½ tablespoon paprika; ½ tablespoon chili powder; ½ tablespoon dried mint; ½ tablespoon dried oregano; ⅓ cup small yellow onion (50 g), sauteed until translucent; 1 medium yellow bell pepper; 1 medium bell pepper; 2 medium zucchinis; 5 tablespoons olive oil, divided; ½ cup garlic (65 g); 2 lemons, juiced; 1 ½ teaspoons kosher salt; ½ cup full fat greek yogurt (120 mL); 2 tablespoons mayonnaise; 2 pita bread rounds; 3 cups arugula (300 g); 1 cup fresh flat-leaf parsley (40 g); 1 cup fresh mint leaf (40 g), roughly chopped; ½ cup cherry tomato (100 g), halved; 1 cup cucumber (150 g), halved lengthwise and thinly sliced into half-moons; ½ cup red onion (75 g), pickled; ⅓ cup lemon juice (80 mL); 8 skewers, 10 in (25 cm)","Calories 521
Fat 11g
Carbs 60g
Fiber 17g
Sugar 22g
Protein 45g",https://tasty.co/recipe/impossible-tm-kofta-veggie-kebabs
Sagittarius Tea Blend,96% WOULD MAKE AGAIN,Under 30 minutes,for 24 servings,½ cup black tea leaves (5 g); ¼ cup dried rose petal (25 g); 1 teaspoon cinnamon; 1 teaspoon ground ginger; ½ teaspoon ground cardamom; 1 teaspoon whole clove,"Calories 0
Fat 0g
Carbs 0g
Fiber 0g
Sugar 0g
Protein 0g",https://tasty.co/recipe/sagittarius-tea-blend
Coconut Cashew Butter,96% WOULD MAKE AGAIN,Under 30 minutes,for 12 servings,3 cups roasted cashew (390 g); ½ cup unsweetened coconut flake (40 g); 1 tablespoon coconut oil; food processor,"Calories 171
Fat 13g
Carbs 10g
Fiber 1g
Sugar 3g
Protein 4g",https://tasty.co/recipe/coconut-cashew-butter
Bitty Banana Breakfast Baby Food (7+ Months),96% WOULD MAKE AGAIN,,for 8 servings,"1 very ripe banana; 2 apples, washed, peeled and steamed; 8 oz baby oatmeal (230 g), prepared and cooled; water, can use breast milk or formula","Calories 159
Fat 2g
Carbs 33g
Fiber 4g
Sugar 9g
Protein 4g",https://tasty.co/recipe/bitty-banana-breakfast-baby-food-7-months
Tenable Avocado Toast (Virgo),92% WOULD MAKE AGAIN,,for 1 serving,"½ avocado; kosher salt, to taste; 1 teaspoon lemon juice; 1 slice multigrain toast; 3 slices cucumber; 2 cherry tomatoes, halveed; 3 radishes, half-moon sliced; flaky sea salt, to taste","Calories 156
Fat 11g
Carbs 13g
Fiber 6g
Sugar 2g
Protein 2g",https://tasty.co/recipe/tenable-avocado-toast-virgo
Overnight Oats Base,75% WOULD MAKE AGAIN,Under 30 minutes,for 2 cups,"2 cups Planet Oat Unsweetened Oat Milk (145 g); 1 cup medjool date (175 g), pitted; 1 ½ cups quick oat (135 g); 2 teaspoons chia seeds","Calories 600
Fat 6g
Carbs 128g
Fiber 15g
Sugar 62g
Protein 13g",https://tasty.co/recipe/overnight-oats-base
Spiked Pineapple Mango Smoothie,75% WOULD MAKE AGAIN,4 hr 20 min,for 1 serving,"1 medium pineapple; ⅓ cup white rum (80 mL); 1 cup coconut milk (240 mL); 1 lime, juiced; 1 tablespoon agave; kosher salt, small pinch; 1 cup frozen mango (150 g)",,https://tasty.co/recipe/spiked-pineapple-mango-smoothie
The Debt Payer,69% WOULD MAKE AGAIN,,for 1 serving,"2 tablespoons gold sprinkles; 1 wedge lemon; 1 ½ fl oz goldschlager (45 mL); 6 fl oz champagne (175 mL), chilled; 1 pinch edible gold glitter","Calories 258
Fat 0g
Carbs 16g
Fiber 5g
Sugar 9g
Protein 0g",https://tasty.co/recipe/the-debt-payer
