,likes,time,servings,ingredients,nutritions,link
"One-Pot Vegan Swedish ""Meatball"" Pasta",76% WOULD MAKE AGAIN,Under 30 minutes,for 8 servings,"8 oz cremini mushrooms (225 g), finely chopped; 15 oz canned cannellini beans (425 g), drained and rinsed; 1 small yellow onion, finely chopped; 1 ¼ cups panko bread crumbs (60 g); ½ cup finely chopped fresh parsley (20 g); 3 cloves garlic, minced; 1 teaspoon dried rosemary; 1 teaspoon vegan worcestershire; 1 tablespoon soy sauce; ¼ teaspoon ground nutmeg; ½ teaspoon liquid smoke; 1 teaspoon salt; 1 teaspoon pepper; 3 tablespoons canola oil; 3 cups vegetable broth (720 mL); 14 oz canned full-fat coconut milk (395 mL); 1 tablespoon vegan worcestershire; salt, to taste; pepper, to taste; ¼ cup all-purpose flour (30 g); 4 cups dried bow tie pasta (400 g), or pasta of choice; finely chopped fresh parsley, for garnish","Calories 326
Fat 10g
Carbs 46g
Fiber 6g
Sugar 6g
Protein 11g",https://tasty.co/recipe/one-pot-vegan-swedish-meatball-pasta
Vegan Challah Bread,96% WOULD MAKE AGAIN,,for 6 servings,"1.25 oz yeast (7 g); ½ cup granulated sugar (110 g), plus 1 pinch granulated sugar, divided; 1 cup warm water (245 mL), plus 3 tablespoons warm water, divided; 6 tablespoons coconut oil, melted, divided, plus more for greasing bowl; 2 teaspoons baking powder; 3 cups all-purpose flour (375 g), plus more as needed; 1 ½ teaspoons salt","Calories 443
Fat 14g
Carbs 68g
Fiber 1g
Sugar 12g
Protein 9g",https://tasty.co/recipe/vegan-challah-bread
3-Ingredient Mango Sorbet,90% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"4 mangoes, diced; ½ cup honey (170 g); ½ cup water (120 mL)","Calories 269
Fat 1g
Carbs 69g
Fiber 4g
Sugar 66g
Protein 2g",https://tasty.co/recipe/3-ingredient-mango-sorbet
Baked Cinnamon Apple Chips,74% WOULD MAKE AGAIN,,for 1 serving,"1 golden delicious apple, thinly sliced; ¼ teaspoon ground cinnamon; 1 pinch salt","Calories 142
Fat 0g
Carbs 38g
Fiber 6g
Sugar 27g
Protein 0g",https://tasty.co/recipe/baked-cinnamon-apple-chips
"Strawberry Banana ""Ice Cream""",90% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"3 bananas, cut into coins and frozen,; ½ cup strawberry (75 g), frozen; ½ cup milk (120 mL), of choice; 1 teaspoon vanilla","Calories 134
Fat 1g
Carbs 30g
Fiber 3g
Sugar 17g
Protein 2g",https://tasty.co/recipe/strawberry-banana-ice-cream
"Chocolate Peanut Butter Banana ""Ice Cream""",91% WOULD MAKE AGAIN,Under 30 minutes,for 4 servings,"3 bananas, cut into coins and frozen; 2 tablespoons creamy peanut butter; 1 tablespoon cocoa powder; ¼ cup milk (60 mL), of choice","Calories 135
Fat 2g
Carbs 29g
Fiber 3g
Sugar 15g
Protein 2g",https://tasty.co/recipe/chocolate-peanut-butter-banana-ice-cream
Black Bean & Roasted Red Pepper Veggie Burgers,96% WOULD MAKE AGAIN,Under 30 minutes,for 5 servings,"15 oz black beans (400 g), 1 can, drained and rinsed; ½ cup jarred roasted red pepper (90 g), finely chopped; 1 clove garlic, minced; ¼ teaspoon cayenne pepper; ½ teaspoon cumin; ½ teaspoon salt; ¼ cup cornmeal (40 g)","Calories 99
Fat 0g
Carbs 19g
Fiber 6g
Sugar 0g
Protein 5g",https://tasty.co/recipe/black-bean-roasted-red-pepper-veggie-burgers
Mushroom Lentil Burger & Fries,94% WOULD MAKE AGAIN,,for 5 servings,"1 tablespoon flax meal; 3 tablespoons water; 3 tablespoons olive oil, divided; 8 oz mushrooms (225 g), finely chopped; 1 tablespoon soy sauce; ½ teaspoon smoked paprika; 1 small onion, diced; 2 cloves garlic, minced; ½ teaspoon salt; ½ teaspoon pepper; 1 ½ cups lentils (300 g), cooked; 1 cup oats (100 g); 4 russet potatoes, cut in wedges; olive oil, to taste; 1 ½ teaspoons garlic powder; 1 ½ teaspoons paprika; salt, to taste; pepper, to taste; 5 burger buns; dijon mustard; sliced tomato; fresh arugula; ketchup, for serving","Calories 731
Fat 10g
Carbs 134g
Fiber 14g
Sugar 12g
Protein 27g",https://tasty.co/recipe/mushroom-lentil-burger-fries
Roasted Cauliflower And Curry Soup,89% WOULD MAKE AGAIN,,for 4 serving,"14 oz chickpeas (395 g), rinsed and drained; 4 teaspoons curry powder; 1 teaspoon garlic powder; 1 teaspoon onion powder; 1 teaspoon ground coriander; 1 teaspoon ground turmeric; 1 teaspoon kosher salt; 1 medium head cauliflower, cut into florets; 1 tablespoon coconut oil, melted, plus 2 tablespoons, divided; kosher salt, to taste; freshly ground black pepper, to taste; 1 small yellow onion, diced; 1 jalapeño, diced; 2 cloves garlic, minced; 3 tablespoons red curry paste; 14 oz coconut milk (415 mL); 4 cups vegetable broth (960 mL); sliced scallion, for serving; chopped fresh cilantro, for serving; Lime wedge, for serving","Calories 502
Fat 24g
Carbs 61g
Fiber 19g
Sugar 20g
Protein 18g",https://tasty.co/recipe/roasted-cauliflower-and-curry-soup
Raspberry Pink Lemonade,86% WOULD MAKE AGAIN,,for 1 serving,½ cup raspberry (60 g); 1 cup water (240 mL); ½ cup lemon juice (120 mL),"Calories 33
Fat 0g
Carbs 10g
Fiber 1g
Sugar 3g
Protein 0g",https://tasty.co/recipe/raspberry-pink-lemonade
Cauliflower “Meat” Tacos,94% WOULD MAKE AGAIN,Under 30 minutes,for 8 servings,"1 medium head cauliflower, washed; 5 oz mushroom (140 g), such as baby bella, cleaned and quartered; 1 ½ tablespoons olive oil; 1 medium yellow onion, minced; 2 cloves garlic, minced; 2 teaspoons ground cumin; 1 ½ teaspoons smoked paprika; 2 tablespoons chili powder; 2 tablespoons soy sauce; salt, to taste; pepper, to taste; corn tortilla; tomato, diced; avocado, diced; tomato salsa; fresh cilantro; lime wedge","Calories 64
Fat 1g
Carbs 12g
Fiber 4g
Sugar 5g
Protein 4g",https://tasty.co/recipe/cauliflower-meat-tacos
